Subject,Start Date,Start Time,End Date,End Time,All day event,Description
Mary the Virgin [4] White,2018-08-15,,,,TRUE,"Mary the Virgin [4] White

EUCHARIST
Isaiah 7:10-15 or Revelation 11:19 - 12:6, 10
Psalm 132:6-10, 13-14 or Psalm 45:10-17
Galatians 4:4-7
Luke 1:46-55 or Luke 2:1-7

MORNING PRAYER: Festivals
1 Samuel 2:1-10
John 2:1-12

EVENING PRAYER: Festivals
Jeremiah 31:1-14 or Zechariah 2:10-13
John 19:23-27 or Acts 1:6-14

---

Week of Proper 19
Wednesday after Pentecost 12, Green

DAILY EUCHARIST
Ezekiel 9:1-7; 10:18-22
Psalm 113
Matthew 18:15-20

DAILY PRAYER: Week A
Judges 13:15-24
Acts 6:1-15
John 4:1-26"
"Blane, Missionary, c.590 [6] White (translated from 12 August)",2018-08-16,,,,TRUE,"Week of Proper 19
Blane, Missionary, c.590 [6] White (translated from 12 August)
Thursday after Pentecost 12, Green

DAILY EUCHARIST
Ezekiel 12:1-16
Psalm 39:11-15
Matthew 18:21 - 19:1

DAILY PRAYER: Week A
Judges 14:1-19
Acts 6:15 - 7:16
John 4:27-42"
Friday after Pentecost 12,2018-08-17,,,,TRUE,"Week of Proper 19
Friday after Pentecost 12, Green

DAILY EUCHARIST
Ezekiel 16:1-15, 59-63
Psalm 11
Matthew 19:3-12

DAILY PRAYER: Week A
Judges 14:20 - 15:20
Acts 7:17-29
John 4:43-54"
Saturday after Pentecost 12,2018-08-18,,,,TRUE,"Week of Proper 19
Saturday after Pentecost 12, Green

DAILY EUCHARIST
Ezekiel 18:1-13, 30-32
Psalm 51:11-18
Matthew 19:13-15

DAILY PRAYER: Week A
Judges 16:1-14
Acts 7:30-43
John 5:1-18"
Pentecost 13 [3] Green; SPB Trinity 12,2018-08-19,,,,TRUE,"Week of Proper 20
Pentecost 13 [3] Green
SPB Trinity 12

EUCHARIST: Continuous
1 Kings 2:10-12; 3:3-14
Psalm 111
Ephesians 5:15-20
John 6:51-58

EUCHARIST: Thematic
Proverbs 9:1-6
Psalm 34:9-14
Ephesians 5:15-20
John 6:51-58

DAILY PRAYER: Week B
Exodus 2:23 - 3:10
Hebrews 13:1-15
Luke 12:49-56

ALTERNATIVE PSALMS
Morning: Psalm 90
Evening: Psalm 92"
"Bernard of Clairvaux, Abbot & Teacher of the Faith, 1153 [6] White",2018-08-20,,,,TRUE,"Week of Proper 20
Bernard of Clairvaux, Abbot & Teacher of the Faith, 1153 [6] White
Monday after Pentecost 13, Green

DAILY EUCHARIST
Ezekiel 24:15-24
Psalm 79:1-8
Matthew 19:16-22

DAILY PRAYER: Week B
Judges 17:1-13
Acts 7:44 - 8:1a
John 5:19-29"
Tuesday after Pentecost 13,2018-08-21,,,,TRUE,"Week of Proper 20
Tuesday after Pentecost 13, Green

DAILY EUCHARIST
Ezekiel 28:1-10
Psalm 60:1-5
Matthew 19:23-30

DAILY PRAYER: Week B
Judges 18:1-15
Acts 8:1-13
John 5:30-47"
Wednesday after Pentecost 13,2018-08-22,,,,TRUE,"Week of Proper 20
Wednesday after Pentecost 13, Green

DAILY EUCHARIST
Ezekiel 34:1-11
Psalm 23
Matthew 20:1-16a

DAILY PRAYER: Week B
Judges 18:16-31
Acts 8:14-25
John 6:1-15"
Thursday after Pentecost 13,2018-08-23,,,,TRUE,"Week of Proper 20
Thursday after Pentecost 13, Green

DAILY EUCHARIST
Ezekiel 36:22-28
Psalm 51:8-13
Matthew 22:1-14

DAILY PRAYER: Week B
Job 1:1-22
Acts 8:26-40
John 6:16-27"
"Bartholomew, Apostle [4] Red",2018-08-24,,,,TRUE,"Bartholomew, Apostle [4] Red

EUCHARIST
Deuteronomy 18:15-18 or Isaiah 43:8-13
Psalm 91 or Psalm 145:1-7
1 Corinthians 4:9-15
Luke 22:24-30

MORNING PRAYER: Festivals
Genesis 28:10-17
John 1:43-51

EVENING PRAYER: Festivals
Isaiah 66:1-2, 18-23
1 Peter 5:1-11

---

Week of Proper 20
Friday after Pentecost 13, Green

DAILY EUCHARIST
Ezekiel 37:1-14
Psalm 107:1-8
Matthew 22:34-40

DAILY PRAYER: Week B
Job 2:1-13
Acts 9:1-9
John 6:27-40"
"Ebba of Coldingham, Abbess, 683 [6] White",2018-08-25,,,,TRUE,"Week of Proper 20
Ebba of Coldingham, Abbess, 683 [6] White
Saturday after Pentecost 13, Green

DAILY EUCHARIST
Ezekiel 43:1-7
Psalm 85:8-13
Matthew 23:1-12

DAILY PRAYER: Week B
Job 3:1-26
Acts 9:10-19a
John 6:41-51"
Pentecost 14 [3] Green; SPB Trinity 13,2018-08-26,,,,TRUE,"Week of Proper 21
Pentecost 14 [3] Green
SPB Trinity 13

EUCHARIST: Continuous
1 Kings 8:(1, 6, 10-11), 22-30, 41-43
Psalm 84
Ephesians 6:10-20
John 6:56-69

EUCHARIST: Thematic
Joshua 24:1-2a, 14-18
Psalm 34:15-22
Ephesians 6:10-20
John 6:56-69

DAILY PRAYER: Week C
Exodus 4:27 - 5:1
Hebrews 13:16-21
Luke 13:10-17

ALTERNATIVE PSALMS
Morning: Psalm 95
Evening: Psalm 116"
"Monnica, Mother of Augustine of Hippo, 387 [6] White",2018-08-27,,,,TRUE,"Week of Proper 21
Monnica, Mother of Augustine of Hippo, 387 [6] White
Monday after Pentecost 14, Green

DAILY EUCHARIST
2 Thessalonians 1:1-5, 11-12
Psalm 96:1-5
Matthew 23:13-22

DAILY PRAYER: Week C
Job 4:1; 5:1-11, 17-21, 26-27
Acts 9:19a-31
John 6:52-59"
"Augustine of Hippo, Bishop & Teacher of the Faith, 430 [6] White",2018-08-28,,,,TRUE,"Week of Proper 21
Augustine of Hippo, Bishop & Teacher of the Faith, 430 [6] White
Tuesday after Pentecost 14, Green

DAILY EUCHARIST
2 Thessalonians 2:1-17
Psalm 96:7-13
Matthew 23:23-26

DAILY PRAYER: Week C
Job 6:1-4, 8-15, 21
Acts 9:32-43
John 6:6-71"
The Beheading of John the Baptist [4] Red,2018-08-29,,,,TRUE,"The Beheading of John the Baptist [4] Red

EUCHARIST
2 Chronicles 24:17-21
Psalm 71:1-6, 15-17
Hebrews 11:32-40
Mark 6:17-29

MORNING PRAYER: Festivals
Jeremiah 38:1-6
Revelation 7:13-17

EVENING PRAYER: Festivals
Judges 16:28-30
1 Peter 3:13-18

---

Week of Proper 21
Wednesday after Pentecost 14, Green

DAILY EUCHARIST
2 Thessalonians 3:6-10, 16-18
Psalm 128
Matthew 23:27-32

DAILY PRAYER: Week C
Job 6:1; 7:1-21
Acts 10:1-16
John 7:1-13"
Thursday after Pentecost 14,2018-08-30,,,,TRUE,"Week of Proper 21
Thursday after Pentecost 14, Green

DAILY EUCHARIST
1 Corinthians 1:1-9
Psalm 145:1-7
Matthew 24:42-51

DAILY PRAYER: Week C
Job 8:1-10, 20-22
Acts 10:17-33
John 7:14-36"
"Aidan of Lindisfarne, Bishop, 651 [6] White",2018-08-31,,,,TRUE,"Week of Proper 21
Aidan of Lindisfarne, Bishop, 651 [6] White
Friday after Pentecost 14, Green

DAILY EUCHARIST
1 Corinthians 1:17-25
Psalm 97
Matthew 25:1-13

DAILY PRAYER: Week C
Job 9:1-15, 32-35
Acts 10:34-48
John 7:37-52"
Saturday after Pentecost 14,2018-09-01,,,,TRUE,"Week of Proper 21
Saturday after Pentecost 14, Green

DAILY EUCHARIST
1 Corinthians 1:26-31
Psalm 33:12-22
Matthew 25:14-30

DAILY PRAYER: Week C
Job 9:1; 10:1-9, 16-22
Acts 11:1-18
John 18:12-20"
Pentecost 15 [3] Green; SPB Trinity 14,2018-09-02,,,,TRUE,"Week of Proper 22
Pentecost 15 [3] Green
SPB Trinity 14

EUCHARIST: Continuous
Song of Solomon 2:8-13
Psalm 45:1-2, 6-9
James 1:17-27
Mark 7:1-8, 14-15, 21-23

EUCHARIST: Thematic
Deuteronomy 4:1-2, 6-9
Psalm 15
James 1:17-27
Mark 7:1-8, 14-15, 21-23

DAILY PRAYER: Week D
Exodus 12:21-27
Revelation 3:14-22
Matthew 4:23 - 5:20

ALTERNATIVE PSALMS
Morning: Psalm 105:1-15
Evening: Psalm 119:(1-8), 9-16"
"Gregory the Great, Bishop and Teacher of the Faith [6] White",2018-09-03,,,,TRUE,"Week of Proper 22
Gregory the Great, Bishop and Teacher of the Faith [6] White
Monday after Pentecost 15, Green

DAILY EUCHARIST
1 Corinthians 2:1-5
Psalm 119:97-104
Luke 4:16-30

DAILY PRAYER: Week D
Job 12:1-6, 13-25
Acts 11:19-30
John 8:21-30"
"The Martyrs of New Guinea, 1942 [6] Red (translated from 2 September)",2018-09-04,,,,TRUE,"Week of Proper 22
The Martyrs of New Guinea, 1942 [6] Red (translated from 2 September)
Tuesday after Pentecost 15, Green

DAILY EUCHARIST
1 Corinthians 2:10-16
Psalm 145:8-15
Luke 4:31-37

DAILY PRAYER: Week D
Job 12:1; 13:3-17, 21-27
Acts 12:1-17
John 8:31-47"
Wednesday after Pentecost 15,2018-09-05,,,,TRUE,"Week of Proper 22
Wednesday after Pentecost 15, Green

DAILY EUCHARIST
1 Corinthians 3:1-9
Psalm 62
Luke 4:38-44

DAILY PRAYER: Week D
Job 12:1; 14:1-22
Acts 12:18-25
John 8:47-59"
Thursday after Pentecost 15,2018-09-06,,,,TRUE,"Week of Proper 22
Thursday after Pentecost 15, Green

DAILY EUCHARIST
1 Corinthians 3:18-23
Psalm 24:1-6
Luke 5:1-11

DAILY PRAYER: Week D
Job 16:16-22; 17:1, 13-16
Acts 13:1-12
John 9:1-17"
Friday after Pentecost 15,2018-09-07,,,,TRUE,"Week of Proper 22
Friday after Pentecost 15, Green

DAILY EUCHARIST
1 Corinthians 4:1-5
Psalm 37:1-12
Luke 5:33-39

DAILY PRAYER: Week D
Job 19:1-7, 14-27
Acts 13:13-25
John 9:18-41"
"The Birth of Mary, Mother of the Lord [5] White",2018-09-08,,,,TRUE,"The Birth of Mary, Mother of the Lord [5] White

Common readings for saints' days
Mary, Mother of the Lord

Genesis 3:9-15, 20
Psalm 45:10-17
Acts 1:12-14
Luke 1:26-38

or

Isaiah 7:10-14
Psalm 113
Romans 8:18-30
Luke 1:39-47

or

Micah 5:1-4
Psalm 131
Galatians 4:4-7
John 19:25-27

---

Week of Proper 22
Saturday after Pentecost 15, Green

DAILY EUCHARIST
1 Corinthians 4:6-15
Psalm 145:14-22
Luke 6:1-5

DAILY PRAYER: Week D
Job 22:1-4, 21 - 23:7
Acts 13:26-43
John 10:1-18"
Pentecost 16 [3] Green; SPB Trinity 15,2018-09-09,,,,TRUE,"Week of Proper 23
Pentecost 16 [3] Green
SPB Trinity 15

EUCHARIST: Continuous
Proverbs 22:1-2, 8-9, 22-23
Psalm 125
James 2:1-10, (11-13), 14-17
Mark 7:24-37

EUCHARIST: Thematic
Isaiah 35:4-7a
Psalm 146
James 2:1-10, (11-13), 14-17
Mark 7:24-37

DAILY PRAYER: Week A
Exodus 14:5-31
Revelation 8:1-5
Matthew 6:1-18

ALTERNATIVE PSALMS
Morning: Psalm 108
Evening: Psalm 119:(41-48), 49-56"
Monday after Pentecost 16,2018-09-10,,,,TRUE,"Week of Proper 23
Monday after Pentecost 16, Green

DAILY EUCHARIST
1 Corinthians 5:1-8
Psalm 5
Luke 6:6-11

DAILY PRAYER: Week A
Job 32:1-10, 19 - 33:1, 19-28
Acts 13:44-52
John 10:19-30"
Tuesday after Pentecost 16,2018-09-11,,,,TRUE,"Week of Proper 23
Tuesday after Pentecost 16, Green

DAILY EUCHARIST
1 Corinthians 6:1-11
Psalm 145:1-5
Luke 6:12-19

DAILY PRAYER: Week A
Job 29:1-20
Acts 14:1-18
John 10:31-42"
Wednesday after Pentecost 16,2018-09-12,,,,TRUE,"Week of Proper 23
Wednesday after Pentecost 16, Green

DAILY EUCHARIST
1 Corinthians 7:25-31
Psalm 45:11-18
Luke 6:20-26

DAILY PRAYER: Week A
Job 29:1; 30:1-2, 16-31
Acts 14:19-28
John 11:1-16"
"Cyprian of Carthage, Bishop and Martyr, 258 [6] Red",2018-09-13,,,,TRUE,"Week of Proper 23
Cyprian of Carthage, Bishop and Martyr, 258 [6] Red
Thursday after Pentecost 16, Green

DAILY EUCHARIST
1 Corinthians 8:1-13
Psalm 139:1-9, 22-23
Luke 6:27-38

DAILY PRAYER: Week A
Job 29:1; 31:1-23
Acts 15:1-11
John 11:17-29"
Holy Cross Day [5] White or Red,2018-09-14,,,,TRUE,"Holy Cross Day [5] White or Red

EUCHARIST
Numbers 21:4-9
Psalm 98:1-5 or Psalm 22:23-28
1 Corinthians 1:18-24 or Philippians 2:6-11
John 3:13-17

MORNING PRAYER: Festivals
Numbers 21:4-9 or Zechariah 12:8 - 13:1
John 3:11-17 or Galatians 6:11-18

EVENING PRAYER: Festivals
Genesis 3:1-15
1 Peter 3:17-22

---

Week of Proper 23
Friday after Pentecost 16, Green

DAILY EUCHARIST
1 Corinthians 9:16-27
Psalm 84
Luke 6:39-42

DAILY PRAYER: Week A
Job 29:1; 31:24-40
Acts 15:12-21
John 11:30-44"
Saturday after Pentecost 16,2018-09-15,,,,TRUE,"Week of Proper 23
Saturday after Pentecost 16, Green

DAILY EUCHARIST
1 Corinthians 10:14-22
Psalm 116:10-17
Luke 6:43-49

DAILY PRAYER: Week A
Job 38:1-17
Acts 15:22-35
John 11:45-54"
Pentecost 17 [3] Green; SPB Trinity 16,2018-09-16,,,,TRUE,"Week of Proper 24
Pentecost 17 [3] Green
SPB Trinity 16

EUCHARIST: Continuous
Proverbs 1:20-33
Psalm 19 or Wisdom of Solomon 7:26 - 8:1
James 3:1-12
Mark 8:27-38

EUCHARIST: Thematic
Isaiah 50:4-9a
Psalm 116:1-9
James 3:1-12
Mark 8:27-38

DAILY PRAYER: Week B
Exodus 18:13-26
Revelation 12:1-12
Matthew 7:1-14

ALTERNATIVE PSALMS
Morning: Psalm 119:41-48, (49-64)
Evening: Psalm 119:(73-80), 81-88"
"Ninian of Whithorn, Bishop, c.430 [4] White (translated from 16 September)",2018-09-17,,,,TRUE,"Ninian of Whithorn, Bishop, c.430 [4] White (translated from 16 September)

EUCHARIST
Jeremiah 1:4-9
Psalm 67
1 Thessalonians 2:2-12 or 2 Corinthians 5:17 - 6:2
Matthew 9:35-38 or Matthew 28:16-20

MORNING PRAYER: Festivals
Ezekiel 34:20-31
1 Thessalonians 5:12-24

EVENING PRAYER: Festivals
Isaiah 52:7-12
John 15:12-17

---

Week of Proper 24
Monday after Pentecost 17, Green

DAILY EUCHARIST
1 Corinthians 11:17-28, 33
Psalm 40:8-12
Luke 7:1-10

DAILY PRAYER: Week B
Job 40:1-24
Acts 15:36 - 16:5
John 11:55 - 12:8"
"Hildegard of Bingen, Abbess, 1179 [6] White (translated from 17 September)",2018-09-18,,,,TRUE,"Week of Proper 24
Hildegard of Bingen, Abbess, 1179 [6] White (translated from 17 September)
Tuesday after Pentecost 17, Green

DAILY EUCHARIST
1 Corinthians 12:12-14, 27-31
Psalm 100
Luke 7:11-17

DAILY PRAYER: Week B
Job 40:1; 41:1-11
Acts 16:16-15
John 12:9-19"
Wednesday after Pentecost 17 (Ember Day),2018-09-19,,,,TRUE,"Week of Proper 24
Wednesday after Pentecost 17, Green

DAILY EUCHARIST
1 Corinthians 12:31 - 13:13
Psalm 33:1-12, 22
Luke 7:31-35

DAILY PRAYER: Week B
Job 42:1-17
Acts 16:16-24
John 12:20-26

---

Ember Day (Wednesday after 14 September)
Isaiah 44:1-8
Psalm 87
1 Peter 2:4-10
John 17:6-19"
"John Coleridge Patteson, Bishop and Martyr, 1871 [6] Red",2018-09-20,,,,TRUE,"Week of Proper 24
John Coleridge Patteson, Bishop and Martyr, 1871 [6] Red
Thursday after Pentecost 17, Green

DAILY EUCHARIST
1 Corinthians 15:1-11
Psalm 118:14-29
Luke 7:36-50

DAILY PRAYER: Week B
Job 28:1-28
Acts 16:25-40
John 12:27-36a"
"Matthew, Apostle and Evangelist [4] Red (Ember Day)",2018-09-21,,,,TRUE,"Matthew, Apostle and Evangelist [4] Red

EUCHARIST
Proverbs 6:1-6, (13-18)
Psalm 119:33-40
2 Timothy 3:14-17 or 2 Corinthians 4:1-6
Matthew 9:9-13

MORNING PRAYER: Festivals
Isaiah 8:11-20
Romans 10:1-15

EVENING PRAYER: Festivals
Job 28:12-28
Matthew 13:44-52

---

Week of Proper 24
Friday after Pentecost 17, Green

DAILY EUCHARIST
1 Corinthians 15:12-20
Psalm 17:1-7
Luke 8:1-3

DAILY PRAYER: Week B
Esther 1:1-4, 10-19 or Judith 4:1-15
Acts 17:1-15
John 12:36b-43

---

Ember Day (Friday after 14 September)
Numbers 27:15-23
Psalm 40:8-13
1 Corinthians 3:3-11
Luke 4:16-21"
Saturday after Pentecost 17 (Ember Day),2018-09-22,,,,TRUE,"Week of Proper 24
Saturday after Pentecost 17, Green

DAILY EUCHARIST
1 Corinthians 15:35-49
Psalm 30:1-5
Luke 8:4-15

DAILY PRAYER: Week 
Esther 2:5-8, 15-23 or Judith 5:1 - 6:4
Acts 17:16-34
John 12:44-50

---

Ember Day (Saturday after 14 September)
1 Samuel 16:1-13a
Psalm 122
Ephesians 4:4-16
Luke 22:24-27"
Pentecost 18 [3] Green; SPB Trinity 17,2018-09-23,,,,TRUE,"Week of Proper 25
Pentecost 18 [3] Green
SPB Trinity 17

EUCHARIST: Continuous
Proverbs 31:10-31
Psalm 1
James 3:13 - 4:3, 7-8a
Mark 9:30-37

EUCHARIST: Thematic
Wisdom of Solomon 1:16 - 2:1, 12-22 or Jeremiah 11:18-20
Psalm 54
James 3:13 - 4:3, 7-8a
Mark 9:30-37

DAILY PRAYER: Week C
Exodus 19:10-25
Revelation 14:1-5
Matthew 8:23-34

ALTERNATIVE PSALMS
Morning: Psalm 119:(113-120), 121-128
Evening: Psalm 119:(137-144), 145-152"
"Adamnan of Iona, Abbot, 704 [6] White (translated from 23 September)",2018-09-24,,,,TRUE,"Week of Proper 25
Adamnan of Iona, Abbot, 704 [6] White (translated from 23 September)
Monday after Pentecost 18, Green

DAILY EUCHARIST
Proverbs 3:27-35
Psalm 15
Luke 8:16-18

DAILY PRAYER: Week C
Esther 4:4-17 or Judith 6:10-21; 7:1-7, 19
Acts 18:1-11
Luke (1:1-4); 3:1-14"
"Finnbar of Caithness, Bishop, c.610 [6] White",2018-09-25,,,,TRUE,"Week of Proper 25
Finnbar of Caithness, Bishop, c.610 [6] White
Tuesday after Pentecost 18, Green

DAILY EUCHARIST
Proverbs 21:1-6, 10-13
Psalm 119:1-8
Luke 8:19-21

DAILY PRAYER: Week C
Esther 5:1-14 or Judith 8:9-17; 9:1, 7-10
Acts 18:12-28
Luke 3:15-22"
Wednesday after Pentecost 18,2018-09-26,,,,TRUE,"Week of Proper 25
Wednesday after Pentecost 18, Green

DAILY EUCHARIST
Proverbs 30:5-9
Psalm 119:105-112
Luke 9:1-6

DAILY PRAYER: Week C
Esther 6:1-14 or Judith 10:1-23
Acts 19:1-10
Luke 4:1-13"
"Vincent de Paul, Priest, 1660 [6] White",2018-09-27,,,,TRUE,"Week of Proper 25
Vincent de Paul, Priest, 1660 [6] White
Thursday after Pentecost 18, Green

DAILY EUCHARIST
Ecclesiastes 1:1-11
Psalm 90:1-6
Luke 9:7-9

DAILY PRAYER: Week C
Esther 7:1-10 or Judith 12:1-20
Acts 19:11-20
Luke 4:14-30"
Friday after Pentecost 18,2018-09-28,,,,TRUE,"Week of Proper 25
Friday after Pentecost 18, Green

DAILY EUCHARIST
Ecclesiastes 3:1-11
Psalm 144:1-4
Luke 9:18-22

DAILY PRAYER: Week C
Esther 8:1-8, 15-17 or Judith 13:1-20
Acts 19:21-41
Luke 4:31-37"
Michael and All Angels [4] White,2018-09-29,,,,TRUE,"Michael and All Angels [4] White

EUCHARIST
Genesis 28:10-17
Psalm 103:19-22
Revelation 12:7-12
John 1:47-51

MORNING PRAYER: Festivals
Job 38:1-7
Hebrews 1:1-14

EVENING PRAYER: Festivals
Daniel 12:1-3 or 2 Kings 6:8-17
Mark 13:21-27 or Revelation 5:1-14

---

Week of Proper 25
Saturday after Pentecost 18, Green

DAILY EUCHARIST
Ecclesiastes 11:9 - 12:8
Psalm 90:1-2, 12-17
Luke 9:43b-45

DAILY PRAYER: Week C
Hosea 1:1 - 2:1
Acts 20:1-16
Luke 4:38-44"
Pentecost 19 [3] Green; SPB Trinity 18,2018-09-30,,,,TRUE,"Week of Proper 26
Pentecost 19 [3] Green
SPB Trinity 18

EUCHARIST: Continuous
Esther 7:1-6, 9-10; 9:20-22
Psalm 124
James 5:13-20
Mark 9:38-50

EUCHARIST: Thematic
Numbers 11:4-6, 10-16, 24-29
Psalm 19:7-14
James 5:13-20
Mark 9:38-50

DAILY PRAYER: Week D
Exodus 24:1-18
Revelation 18:1-8
Matthew 9:1-8

ALTERNATIVE PSALMS
Morning: Psalms 123 and 124
Evening: Psalms 120 and 121"
"Gregory the Enlightener, Bishop, c.332 [6] White",2018-10-01,,,,TRUE,"Week of Proper 26
Gregory the Enlightener, Bishop, c.332 [6] White
Monday after Pentecost 19, Green

DAILY EUCHARIST
Job 1:6-22
Psalm 17:1-7
Luke 9:46-50

DAILY PRAYER: Week D
Hosea 2:14-23
Acts 20:17-38
Luke 5:1-11"
"Jerome, Priest and Teacher of the Faith, 420 [6] White (translated from 30 September)",2018-10-02,,,,TRUE,"Week of Proper 26
Jerome, Priest and Teacher of the Faith, 420 [6] White (translated from 30 September)
Tuesday after Pentecost 19, Green

DAILY EUCHARIST
Job 3:1-3, 11-23
Psalm 88:1-8
Luke 9:51-56

DAILY PRAYER: Week D
Hosea 4:1-10
Acts 21:1-14
Luke 5:12-26"
Wednesday after Pentecost 19,2018-10-03,,,,TRUE,"Week of Proper 26
Wednesday after Pentecost 19, Green

DAILY EUCHARIST
Job 9:1-16
Psalm 88:10-15
Luke 9:57-62

DAILY PRAYER: Week D
Hosea 4:11-19
Acts 21:15-26
Luke 5:27-39"
"Francis of Assisi, Deacon and Friar, 1226 [6] White",2018-10-04,,,,TRUE,"Week of Proper 26
Francis of Assisi, Deacon and Friar, 1226 [6] White
Thursday after Pentecost 19, Green

DAILY EUCHARIST
Job 19:21-27
Psalm 27:10-18
Luke 10:1-12

DAILY PRAYER: Week D
Hosea 5:8 - 6:6
Acts 21:27-36
Luke 6:1-11"
Friday after Pentecost 19,2018-10-05,,,,TRUE,"Week of Proper 26
Friday after Pentecost 19, Green

DAILY EUCHARIST
Job 38:1, 12-21; 40:1-5
Psalm 139:1-17
Luke 10:13-16

DAILY PRAYER: Week D
Hosea 10:1-15
Acts 21:37 - 22:16
Luke 6:12-26"
Saturday after Pentecost 19,2018-10-06,,,,TRUE,"Week of Proper 26
Saturday after Pentecost 19, Green

DAILY EUCHARIST
Job 42:1-6, 12-17
Psalm 119:169-176
Luke 10:17-24

DAILY PRAYER: Week D
Hosea 11:1-9
Acts 22:17-29
Luke 6:27-38"
Pentecost 20 [3] Green; SPB Trinity 19,2018-10-07,,,,TRUE,"Week of Proper 27
Pentecost 20 [3] Green
SPB Trinity 19

EUCHARIST: Continuous
Job 1:1; 2:1-10
Psalm 26
Hebrews 1:1-4; 2:5-12
Mark 10:2-16

EUCHARIST: Thematic
Genesis 2:18-24
Psalm 8
Hebrews 1:1-4; 2:5-12
Mark 10:2-16

DAILY PRAYER: Week A
Joshua 3:7-17
1 Corinthians 2:6-16
Matthew 10:1-22

ALTERNATIVE PSALMS
Morning: Psalm 136
Evening: Psalms 125 and 126"
"Alexander Penrose Forbes, Bishop, 1875 [6] White (Ordination of the Rt Revd Dr Nigel Peyton, Bishop of Brechin, 2011)",2018-10-08,,,,TRUE,"Week of Proper 27
Alexander Penrose Forbes, Bishop, 1875 [6] White
Monday after Pentecost 20, Green
(Ordination of the Rt Revd Dr Nigel Peyton, Bishop of Brechin, 2011)

DAILY EUCHARIST
Galatians 1:6-12
Psalm 111:1-6
Luke 10:25-37

DAILY PRAYER: Week A
Hosea 14:1-9
Acts 22:30 - 23:11
Luke 6:39-49"
Tuesday after Pentecost 20,2018-10-09,,,,TRUE,"Week of Proper 27
Tuesday after Pentecost 20, Green

DAILY EUCHARIST
Galatians 1:13-24
Psalm 139:1-14
Luke 10:38-42

DAILY PRAYER: Week A
Micah 1:1-9
Acts 23:12-24
Luke 7:1-17"
Wednesday after Pentecost 20,2018-10-10,,,,TRUE,"Week of Proper 27
Wednesday after Pentecost 20, Green

DAILY EUCHARIST
Galatians 2:1-2, 7-14
Psalm 117
Luke 11:1-4

DAILY PRAYER: Week A
Micah 2:1-13
Acts 23:23-35
Luke 7:18-35"
"Kenneth, Abbot, 600 [6] White",2018-10-11,,,,TRUE,"Week of Proper 27
Kenneth, Abbot, 600 [6] White
Thursday after Pentecost 20, Green

DAILY EUCHARIST
Galatians 3:1-5
Psalm 89:19-29
Luke 11:5-13

DAILY PRAYER: Week A
Micah 3:1-8
Acts 24:1-23
Luke 7:36-50"
"Elizabeth Fry, 1845 [6] White",2018-10-12,,,,TRUE,"Week of Proper 27
Elizabeth Fry, 1845 [6] White
Friday after Pentecost 20, Green

DAILY EUCHARIST
Galatians 3:7-14
Psalm 111:4-10
Luke 11:14-26

DAILY PRAYER: Week A
Micah 3:9 - 4:5
Acts 24:24 - 25:12
Luke 8:1-15"
"Saturday after Pentecost 20 (Ordination of the Most Revd Mark Strange, Bishop of Moray, Ross and Caithness, 2007)
",2018-10-13,,,,TRUE,"Week of Proper 27
Saturday after Pentecost 20, Green
(Ordination of the Most Revd Mark Strange, Bishop of Moray, Ross and Caithness, 2007)

DAILY EUCHARIST
Galatians 3:21-29
Psalm 105:1-7
Luke 11:27-28

DAILY PRAYER: Week A
Micah 5:1-4, 10-15
Acts 25:13-27
Luke 8:16-25"
Pentecost 21 [3] Green; SPB Trinity 20,2018-10-14,,,,TRUE,"Week of Proper 28
Pentecost 21 [3] Green
SPB Trinity 20

EUCHARIST: Continuous
Job 23:1-9, 16-17
Psalm 22:1-15
Hebrews 4:12-16
Mark 10:17-31

EUCHARIST: Thematic
Amos 5:6-7, 10-15
Psalm 90:12-17
Hebrews 4:12-16
Mark 10:17-31

DAILY PRAYER: Week B
Joshua 5:13 - 6:20
1 Corinthians 4:9-16
Matthew 11:20-30

ALTERNATIVE PSALMS
Morning: Psalm 139:1-11, (12-18)
Evening: Psalms 127 and 128"
"Teresa of Avila, Teacher of the Faith, 1582 [6] White",2018-10-15,,,,TRUE,"Week of Proper 28
Teresa of Avila, Teacher of the Faith, 1582 [6] White
Monday after Pentecost 21, Green

DAILY EUCHARIST
Galatians 4:21 - 5:1
Psalm 113
Luke 11:29-32

DAILY PRAYER: Week B
Micah 7:1-7
Acts 26:1-23
Luke 8:26-39"
Tuesday after Pentecost 21,2018-10-16,,,,TRUE,"Week of Proper 28
Tuesday after Pentecost 21, Green

DAILY EUCHARIST
Galatians 5:1-6
Psalm 119:42-48
Luke 11:37-41

DAILY PRAYER: Week B
Jonah 1:1-17a
Acts 26:24 - 27:8
Luke 8:40-56"
"Ignatius of Antioch, Bishop and Martyr, c.115 [6] Red",2018-10-17,,,,TRUE,"Week of Proper 28
Ignatius of Antioch, Bishop and Martyr, c.115 [6] Red
Wednesday after Pentecost 21, Green

DAILY EUCHARIST
Galatians 5:16-25
Psalm 1
Luke 11:42-46

DAILY PRAYER: Week B
Jonah 1:17 - 2:10
Acts 27:9-26
Luke 9:1-17"
