,Start date,SUBJECT,DESCRIPTION,
Sunday,2025-01-05,Second Sunday after Christmas [3] White,"Sunday 5 January 2025

Second Sunday after Christmas [3] White
Week of Christmas 2
Year C/1

EUCHARIST
Jeremiah 31:7-14 or Sirach 24:1-12
Psalm 147:12-20 or Wisdom of Solomon 10:15-21
Ephesians 1:3-14
John 1:(1-9), 10-18

DAILY PRAYER: Incarnation 
Isaiah 41:21-42
Romans 12:1-8
Matthew 2:13-23

ALTERNATIVE PSALMS
Morning: Psalm 135:1-14
Evening: Psalm 87

COLLECT (Christmas 2)
O God, 
whose blessed Son, Jesus Christ, was made human,
that we might become your children:
grant that we, 
being made partakers of his divine nature, 
may be shaped in his likeness;
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.

---

Epiphany may be kept on this day instead of 6 January

The Epiphany [1] White (6 January)
Epiphany
Year C/1

EUCHARIST
Isaiah 60:1-6
Psalm 72:1-7, 10-14
Ephesians 3:1-12
Matthew 2:1-12

DAILY PRAYER: Incarnation 
Isaiah 52:7-10
Revelation 21:22-27
Matthew 12:14-21

COLLECT (The Epiphany)
O God, 
who, by the guidance of a star, 
revealed your only-begotten Son to the nations:
Grant that we, who know you now by faith, 
may at the last be led to see your glory face to face; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2025-01-06,The Epiphany [1] White,"Monday 6 January 2025

The Epiphany [1] White (6 January)
Epiphany
Year C/1

EUCHARIST
Isaiah 60:1-6
Psalm 72:1-7, 10-14
Ephesians 3:1-12
Matthew 2:1-12

DAILY PRAYER: Incarnation 
Isaiah 52:7-10
Revelation 21:22-27
Matthew 12:14-21

COLLECT (The Epiphany)
O God, 
who, by the guidance of a star, 
revealed your only-begotten Son to the nations:
Grant that we, who know you now by faith, 
may at the last be led to see your glory face to face; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2025-01-07,Tuesday after The Epiphany,"Tuesday 7 January 2025

Tuesday after the Epiphany (White)
7 January
The days following Epiphany
Year C/1

DAILY EUCHARIST
1 John 3:18 - 4:6
Psalm 2
Matthew 4:12-17, 23-25

DAILY PRAYER: Incarnation 
Isaiah 52:3-6
Revelation 2:1-7
John 2:1-11

COLLECT (The Epiphany)
O God, 
who, by the guidance of a star, 
revealed your only-begotten Son to the nations:
Grant that we, who know you now by faith, 
may at the last be led to see your glory face to face; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2025-01-08,Wednesday after The Epiphany,"Wednesday 8 January 2025

Wednesday after the Epiphany (White)
8 January
The days following Epiphany
Year C/1

DAILY EUCHARIST
1 John 4:7-12
Psalm 72:1-8
Mark 6:30-44

DAILY PRAYER: Incarnation 
Isaiah 59:15-21
Revelation 2:8-17
John 4:46-54

COLLECT (The Epiphany)
O God, 
who, by the guidance of a star, 
revealed your only-begotten Son to the nations:
Grant that we, who know you now by faith, 
may at the last be led to see your glory face to face; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2025-01-09,Thursday after The Epiphany,"Thursday 9 January 2025

Thursday after the Epiphany (White)
9 January
The days following Epiphany
Year C/1

DAILY EUCHARIST
1 John 4:11-19
Psalm 72:1-2, 10-13
Mark 6:45-52

DAILY PRAYER: Incarnation 
Isaiah 63:1-5
Revelation 2:18-29
John 5:1-15

COLLECT (The Epiphany)
O God, 
who, by the guidance of a star, 
revealed your only-begotten Son to the nations:
Grant that we, who know you now by faith, 
may at the last be led to see your glory face to face; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-01-10,"William Laud, Bishop, 1645 [6] Red","Friday 10 January 2025

William Laud, Bishop, 1645 [6] Red
Friday after the Epiphany (White)
10 January
The days following Epiphany
Year C/1

DAILY EUCHARIST
1 John 4:19 - 5:4
Psalm 72:1-2, 14-19
Luke 4:14-22

DAILY PRAYER: Incarnation 
Isaiah 65:1-9
Revelation 3:1-6
John 6:1-14

COLLECT (The Epiphany)
O God, 
who, by the guidance of a star, 
revealed your only-begotten Son to the nations:
Grant that we, who know you now by faith, 
may at the last be led to see your glory face to face; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2025-01-11,"David, King of Scots, 1153 [6] Red","Saturday 11 January 2025

David, King of Scots, 1153 [6] Red
Saturday after the Epiphany (White)
11 January
The days following Epiphany
Year C/1

DAILY EUCHARIST
1 John 5:5-12
Psalm 147:13-21
Luke 5:12-16

DAILY PRAYER: Incarnation 
Isaiah 65:13-16
Revelation 3:7-13
John 6:15-27

COLLECT (The Epiphany)
O God, 
who, by the guidance of a star, 
revealed your only-begotten Son to the nations:
Grant that we, who know you now by faith, 
may at the last be led to see your glory face to face; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Sunday,2025-01-12,First Sunday after Epiphany: The Baptism of the Lord [2] White,"Sunday 12 January 2025

First Sunday after Epiphany: The Baptism of the Lord [2] White
Week of Proper 1
Year C/1

EUCHARIST
Isaiah 43:1-7
Psalm 29
Acts 8:14-17
Luke 3:15-17, 21-22

DAILY PRAYER: Festivals 
Joshua 3:1-8, 14-17
Hebrews 1:1-12
Matthew 3:13-17

ALTERNATIVE PSALMS
Morning: Psalm 46
Evening: Psalm 89:20-29

COLLECT (Epiphany 1)
Eternal Father, 
who at the baptism of Jesus revealed him to be your Son, 
anointing him with the Holy Spirit:
grant that we, being born again,
and made your children by adoption and grace, 
may daily be renewed by your Holy Spirit; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",PROPER 1
Monday,2025-01-13,"Kentigern (or Mungo), Bishop c.603 [4] White","Monday 13 January 2025

Kentigern (or Mungo), Bishop c.603 [4] White
Week of Proper 1
Year C/1

EUCHARIST
Isaiah 52:7-10
Psalm 16:5-11
1 Thessalonians 2:2-12 or 1 Corinthians 9:16-19, 22-23
Matthew 28:16-20

MORNING PRAYER: Festivals
Isaiah 44:1-8
1 Thessalonians 1:2-10 or 2 Corinthians 2:12 - 3:11

EVENING PRAYER: Festivals
Sirah 50:1-24 or Isaiah 52:7-12
John 1:1-18

COLLECT (Kentigern)
O God, who in your wonderful providence 
chose blessed Kentigern, your bishop, 
to be a teacher and guardian of your Church: 
grant, we pray, that we may ever follow the holy example 
of him whose feast day we now celebrate;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Monday after First Sunday after Epiphany (Green)
Week of Proper 1
Year C/1

DAILY EUCHARIST
Hebrews 1:1-6
Psalm 97
Mark 1:14-20

DAILY PRAYER: Week A 
Isaiah 40:1-17
Ephesians 1:1-14
Mark 1:1-13

COLLECT (Proper 1)
O Lord, in your loving kindness, 
hear the prayers of your people as they call upon you:
that they may discern your will,
and also be given strength to fulfil it;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Tuesday,2025-01-14,"Hilary of Poitiers, Bishop and Teacher of the Faith, c.367 [6] White","Tuesday 14 January 2025

Hilary of Poitiers, Bishop and Teacher of the Faith, c.367 [6] White
Tuesday after First Sunday after Epiphany (Green)
Week of Proper 1
Year C/1

DAILY EUCHARIST
Hebrews 2:5-12
Psalm 8
Mark 1:21-28

DAILY PRAYER: Week A 
Isaiah 40:18-31
Ephesians 1:15-23
Mark 1:14-28

COLLECT (Proper 1)
O Lord, in your loving kindness, 
hear the prayers of your people as they call upon you:
that they may discern your will,
and also be given strength to fulfil it;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Wednesday,2025-01-15,Wednesday after First Sunday after Epiphany,"Wednesday 15 January 2025

Wednesday after First Sunday after Epiphany (Green)
Week of Proper 1
Year C/1

DAILY EUCHARIST
Hebrews 2:14-18
Psalm 105:1-15
Mark 1:29-39

DAILY PRAYER: Week A 
Isaiah 41:1-16
Ephesians 2:1-10
Mark 1:29-45

COLLECT (Proper 1)
O Lord, in your loving kindness, 
hear the prayers of your people as they call upon you:
that they may discern your will,
and also be given strength to fulfil it;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Thursday,2025-01-16,Thursday after First Sunday after Epiphany,"Thursday 16 January 2025

Thursday after First Sunday after Epiphany (Green)
Week of Proper 1
Year C/1

DAILY EUCHARIST
Hebrews 3:1-14
Psalm 95:6-11
Mark 1:40-45

DAILY PRAYER: Week A 
Isaiah 41:17-29
Ephesians 2:11-22
Mark 2:1-12

COLLECT (Proper 1)
O Lord, in your loving kindness, 
hear the prayers of your people as they call upon you:
that they may discern your will,
and also be given strength to fulfil it;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Friday,2025-01-17,"Antony of Egypt, Abbot, 356 [6] White","Friday 17 January 2025

Antony of Egypt, Abbot, 356 [6] White
Friday after First Sunday after Epiphany (Green)
Week of Proper 1
Year C/1

DAILY EUCHARIST
Hebrews 4:1-5, 11
Psalm 78:3-8
Mark 2:1-12

DAILY PRAYER: Week A 
Isaiah 42:(1-9), 10-17
Ephesians 3:1-13
Mark 2:13-22

COLLECT (Proper 1)
O Lord, in your loving kindness, 
hear the prayers of your people as they call upon you:
that they may discern your will,
and also be given strength to fulfil it;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Saturday,2025-01-18,The Confession of Peter [6] White,"Saturday 18 January 2025

The Confession of Peter [6] White
Saturday after First Sunday after Epiphany (Green)
Week of Proper 1
Year C/1

DAILY EUCHARIST
Hebrews 4:12-16
Psalm 19:7-14
Mark 2:13-17

DAILY PRAYER: Week A 
Isaiah 43:1-13
Ephesians 3:14-21
Mark 2:23 - 3:6

COLLECT (Proper 1)
O Lord, in your loving kindness, 
hear the prayers of your people as they call upon you:
that they may discern your will,
and also be given strength to fulfil it;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Sunday,2025-01-19,Second Sunday after Epiphany [3] Green,"Sunday 19 January 2025

Second Sunday after Epiphany [3] Green
Week of Proper 2
Year C/1

EUCHARIST
Isaiah 62:1-5
Psalm 36:5-10
1 Corinthians 12:1-11
John 2:1-11

DAILY PRAYER: Week B 
Ezekiel 2:1-7
Hebrews 6:17 - 7:10
Matthew 8:5-13

ALTERNATIVE PSALMS
Morning: Psalm 96
Evening: Psalm 145:1-12

COLLECT (Proper 2)
Almighty and eternal God,
ruler of heaven and earth:
mercifully hear the prayers of your people,
and grant your peace to our times;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Monday,2025-01-20,Commemoration of Scottish Saints and Martyrs of the Reformation Period [6] Red (transferred from 19 January),"Monday 20 January 2025

Commemoration of Scottish Saints and Martyrs of the Reformation Period [6] Red (transferred from 19 January)
Monday after Second Sunday after Epiphany (Green)
Week of Proper 2
Year C/1

DAILY EUCHARIST
Hebrews 5:1-10
Psalm 110
Mark 2:18-22

DAILY PRAYER: Week B 
Isaiah 43:14 - 44:8
Ephesians 4:1-16
Mark 3:7-19a

COLLECT (Proper 2)
Almighty and eternal God,
ruler of heaven and earth:
mercifully hear the prayers of your people,
and grant your peace to our times;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Tuesday,2025-01-21,"Agnes, Martyr, c.304 [6] Red","Tuesday 21 January 2024

Agnes, Martyr, c.304 [6] Red
Tuesday after Second Sunday after Epiphany (Green)
Week of Proper 2
Year C/1

DAILY EUCHARIST
Hebrews 6:10-20
Psalm 111
Mark 2:23-28

DAILY PRAYER: Week B 
Isaiah 44:9-23
Ephesians 4:17-32
Mark 3:19b-35

COLLECT (Proper 2)
Almighty and eternal God,
ruler of heaven and earth:
mercifully hear the prayers of your people,
and grant your peace to our times;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Wednesday,2025-01-22,Wednesday after Second Sunday after Epiphany,"Wednesday 22 January 2025

Wednesday after Second Sunday after Epiphany (Green)
Week of Proper 2
Year C/1

DAILY EUCHARIST
Hebrews 7:1-3, 15-17
Psalm 110
Mark 3:1-6

DAILY PRAYER: Week B 
Isaiah 44:24 - 45:7
Ephesians 5:1-14
Mark 4:1-20

COLLECT (Proper 2)
Almighty and eternal God,
ruler of heaven and earth:
mercifully hear the prayers of your people,
and grant your peace to our times;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Thursday,2025-01-23,Thursday after Second Sunday after Epiphany,"Thursday 23 January 2025

Thursday after Second Sunday after Epiphany (Green)
Week of Proper 2
Year C/1

DAILY EUCHARIST
Hebrews 7:23 - 8:7
Psalm 40:8-12, 17-19
Mark 3:7-12

DAILY PRAYER: Week B 
Isaiah 45:5-17
Ephesians 5:15-33
Mark 4:21-34

COLLECT (Proper 2)
Almighty and eternal God,
ruler of heaven and earth:
mercifully hear the prayers of your people,
and grant your peace to our times;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Friday,2025-01-24,"Francis de Sales, Bishop, 1622 [6] White","Friday 24 January 2025

Francis de Sales, Bishop, 1622 [6] White
Friday after Second Sunday after Epiphany (Green)
Week of Proper 2
Year C/1

DAILY EUCHARIST
Hebrews 8:6-13
Psalm 85:7-13
Mark 3:13-19

DAILY PRAYER: Week B 
Isaiah 45:18-25
Ephesians 6:1-9
Mark 4:35-41

COLLECT (Proper 2)
Almighty and eternal God,
ruler of heaven and earth:
mercifully hear the prayers of your people,
and grant your peace to our times;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Saturday,2025-01-25,"The Conversion of Paul, Apostle [4] White","Saturday 25 January 2025

The Conversion of Paul, Apostle [4] White
Week of Proper 2
Year C/1

EUCHARIST
Acts 26:9-23
Psalm 67
Galatians 1:11-24
Matthew 10:16-22 or Matthew 19:27-30

MORNING PRAYER: Festivals
Isaiah 45:18-25
Philippians 3:4b-11

EVENING PRAYER: Festivals
Sirach 39:1-10
Acts 9:1-22

COLLECT (The Conversion of Paul)
Almighty God,
who by the preaching of your blessed apostle Paul
caused the light of the gospel to shine among the nations:
grant that we, who celebrate his wonderful conversion,
may be united with him in bearing witness to your truth;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Saturday after Second Sunday after Epiphany (Green)
Week of Proper 2
Year C/1

DAILY EUCHARIST
Hebrews 9:2-3, 11-14
Psalm 47
John 8:51-59

DAILY PRAYER: Week B 
Isaiah 46:1-13
Ephesians 6:10-24
Mark 5:1-20

COLLECT (Proper 2)
Almighty and eternal God,
ruler of heaven and earth:
mercifully hear the prayers of your people,
and grant your peace to our times;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Sunday,2025-01-26,Third Sunday after Epiphany [3] Green,"Sunday 26 January 2025

Third Sunday after Epiphany [3] Green
Week of Proper 3
Year C/1

EUCHARIST
Nehemiah 8:1-3, 5-6, 8-10
Psalm 19
1 Corinthians 12:12-31a
Luke 4:14-21

DAILY PRAYER: Week C 
Ecclesiastes 3:1-11
Titus 2:1-8, 11-14
Matthew 4:12-23

ALTERNATIVE PSALMS
Morning: Psalm 33
Evening: Psalm 113

COLLECT (Proper 3)
Almighty and eternal God,
behold us in our weakness: 
and stretch out your hands to protect us;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Monday,2025-01-27,"John Chrysostom, Bishop and Teacher of the Faith, 407 [6] White","Monday 27 January 2025

John Chrysostom, Bishop and Teacher of the Faith, 407 [6] White
Monday after Third Sunday after Epiphany (Green)
Week of Proper 3
Year C/1

DAILY EUCHARIST
Hebrews 9:15, 24-28
Psalm 98
Mark 3:19b-30

DAILY PRAYER: Week C 
Isaiah 47:1-15
Galatians 1:1-17
Mark 5:21-43

COLLECT (Proper 3)
Almighty and eternal God,
behold us in our weakness: 
and stretch out your hands to protect us;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Tuesday,2025-01-28,"Thomas Aquinas, Teacher of the Faith, 1274 [6] White","Tuesday 28 January 2025

Thomas Aquinas, Teacher of the Faith, 1274 [6] White
Tuesday after Third Sunday after Epiphany (Green)
Week of Proper 3
Year C/1

DAILY EUCHARIST
Hebrews 10:1-10
Psalm 40:1-11
Mark 3:31-35

DAILY PRAYER: Week C 
Isaiah 48:1-21
Galatians 1:18 - 2:10
Mark 6:1-13

COLLECT (Proper 3)
Almighty and eternal God,
behold us in our weakness: 
and stretch out your hands to protect us;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Wednesday,2025-01-29,"Timothy and Titus, Bishops [6] White (transferred from 29 January)","Wednesday 29 January 2025

Timothy and Titus, Bishops [6] White (transferred from 29 January)
Wednesday after Third Sunday after Epiphany (Green)
Week of Proper 3
Year C/1

DAILY EUCHARIST
Hebrews 10:11-18
Psalm 110:1-4
Mark 4:1-20

DAILY PRAYER: Week C 
Isaiah 49:1-12
Galatians 2:11-21
Mark 6:13-29

COLLECT (Proper 3)
Almighty and eternal God,
behold us in our weakness: 
and stretch out your hands to protect us;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
